no,tango,kana,en,zh,vi
0054,改革,かいかく,"Reform, overhaul",改革,cải cách
0055,外観,がいかん,Outer appearance,外观,"ngoại thất, vẻ ngoài"
0056,階級,かいきゅう,"Grade, class",阶级,"giai cấp, cấp bậc"
0057,改修,かいしゅう,"Renovate, refurbish",改建、整修,tu bổ
0058,階層,かいそう,Hierarchy,阶层,tầng lớp
0059,改造,かいぞう,"Remodel, convert",改造,"tu sửa, cải tạo"
0060,会談,かいだん,"Confer, meet",会谈、会面商谈,"họp bàn, hội đàm"
0061,街頭,がいとう,Street,街头,đường phố
0062,該当,がいとう,Be eligible,符合,"thích hợp, ứng với"
0063,回避,かいひ,"Avoid, avert",回避、避免,"tránh, thoát"
0064,概要,がいよう,"Overview, profile",概要,"tổng quan, đề cương"
0065,改良,かいりょう,"Improve, rectify",改良、改善,cải thiện
0066,核,かく,"Core, nucleus",原子核；核心,hạt nhân
0067,架空,かくう,Fictitious,虚构,"sự giả tưởng, sự hư cấu"
0068,格差,かくさ,Gap,差距,cách biệt
0069,拡充,かくじゅう,"Expand, broaden",扩充,"mở rộng, gia tăng"
0070,核心,かくしん,"Core, heart",核心,"trung tâm, cốt lõi, điểm chính yếu"
0071,革新,かくしん,Innovation,革新,đổi mới
0072,確信,かくしん,"Believe, be sure",确信、信心,tin chắc
0073,確定,かくてい,Determine,确定,xác định
0074,獲得,かくとく,"Acquire, take",获得,"có được, đạt được"
0075,確保,かくほ,"Secure, obtain",确保,"giữ, đảm bảo"
0076,確立,かくりつ,"Establish, build",确立,xác lập
0077,賭け,かけ,"Gamble, bet",赌一把、碰运气,"sự đặt cược, trò may rủi"
0078,駆け足,かけあし,Rush,快跑,"sự vội vã, sự gấp rút"
0079,加減,かげん,"Adjust, modify",事物的状况；调节,gia giảm / điều chỉnh
0080,下降,かこう,Descend,降落,hạ xuống
0081,課題,かだい,"Issue, problem",课题、必须解决的问题,"vấn đề, nhiệm vụ"
0082,活性化,かっせいか,"Stimulate, activate",活化、激活,"làm linh hoạt, kích hoạt"
0083,活力,かつりょく,"Vigor, vitality",活力,sức sống
0084,カルチャーショック,,Culture shock,文化冲击,cú sốc văn hóa
0085,勘,かん,Intuition,第六感、直觉,"linh cảm, trực giác"
0086,還元,かんげん,"Return, give back",返还,hoàn trả
0087,慣行,かんこう,"Custom, practice",惯例、习惯做法,tập quán
0088,監視,かんし,Monitor,监视,giám sát
0089,慣習,かんしゅう,Custom,旧习、习俗,phong tục
0090,干渉,かんしょう,Interfere,干涉,can thiệp
0091,観点,かんてん,Perspective,观点、视角,quan điểm
0092,観念,かんねん,"Concept, idea",观念,"khái niệm, ý thức"
0093,慣例,かんれい,"Custom, tradition",惯例,tiền lệ
0094,緩和,かんわ,"Relax, ease",放宽,"nới lỏng, xoa dịu"
0095,企画,きかく,Plan,策划,lên kế hoạch
0096,危機,きき,Crisis,危机,"cơn khủng hoảng, sự biến động"
0097,起源,きげん,Origin,起源,nguồn gốc
0098,兆し,きざし,Sign,征兆、预兆,"dấu hiệu, điềm"
0099,期日,きじつ,Deadline,日期、期限,kỳ hạn
0100,犠牲,ぎせい,Sacrifice,牺牲,sự hi sinh
0101,奇跡,きせき,Miracle,奇迹,điều kỳ diệu
0102,貴族,きぞく,"Aristocrat, nobleman",贵族,quý tộc
0103,規定,きてい,"Stipulate, provide",规定,quy định
0104,技能,ぎのう,Skills,技能,kỹ năng
0105,基盤,きばん,"Foundation, basis",基础,nền tảng
0106,規約,きやく,Terms,规约、约定,quy ước
0107,キャッチ,,Catch,接（球）,"bắt, chụp (bóng)"
0108,ギャップ,,"Gap, divergence",分歧,sự khác biệt
0109,救援,きゅうえん,"Relief, emergency aid",救援,cứu trợ
0110,究極,きゅうきょく,Ultimate,终极、最终,"tối cao, sau cùng"
0111,協会,きょうかい,Association,协会,hiệp hội
0112,協議,きょうぎ,"Discuss, negotiate",协议、协商,thảo luận
0113,教訓,きょうくん,Lesson,教训,bài học
0114,強行,きょうこう,"Force, compel",强行,bắt buộc / cương quyết làm
0115,強制,きょうせい,Be mandatory,强制,bắt buộc
0116,業績,ぎょうせき,"Performance, results",业绩,"thành tích, kết quả"
0117,共存,きょうそん/きょうぞん,Coexist,共存,chung sống
0118,共有,きょうゆう,Share,共有、共享,chia sẻ
0119,居住,きょじゅう,"Live, reside",居住,cư trú
0120,拒絶,きょぜつ,"Refuse, reject",拒绝,cự tuyệt
0121,拒否,きょひ,"Refuse, turn down",拒绝,"từ chối, bác bỏ"
0122,切り,きり,End point,（事物就此结束的）段、段落,điểm dừng
0123,切れ目,きれめ,"Break, gap",断开处；段落,nhát cắt / chỗ ngắt quãng
0124,疑惑,ぎわく,Suspicion,疑惑、怀疑,sự nghi ngờ
0125,緊迫,きんぱく,Be tense,紧迫、紧张,trở nên căng thẳng
0126,禁物,きんもつ,"Something to be avoided, a no-no",禁止做的事,điều hoặc vật cấm kỵ
0127,区画,くかく,"Divide, section",区划、划分,"phân khu, phân vùng"
0128,苦心,くしん,Struggle to,费尽心思,"chật vật, bỏ công sức"
0129,クレーム,,"Claim (for redress), complaint",抱怨、投诉,"lời than phiền, lời phê bình"
0130,ケア,,Care,护理；照顾、保养,chăm sóc
0131,経緯,けいい,"Particulars, details",原委,"diễn biến, hoàn cảnh dẫn đến"
0132,契機,けいき,"Opportunity, trigger",契机,"cơ hội, nguyên cớ"
0133,軽減,けいげん,Reduce,减轻、减少,"giảm nhẹ, giảm bớt"
0134,継承,けいしょう,"Inherit, carry on",继承,kế thừa
0135,形勢,けいせい,"Situation, status",形势,tình thế
0136,形成,けいせい,Form,形成,"hình thành, tạo dựng"
0137,形態,けいたい,"Form, structure",形态,hình thái
0138,携帯,けいたい,Carry,携带,mang theo
0139,系統,けいとう,System,系统、体系,hệ thống
0140,激増,げきぞう,Increase dramatically,激增,tăng vọt
0141,決行,けっこう,Act decisively,断然做,quyết tâm làm
0142,結合,けつごう,"Join, combine",结合,liên kết
0143,欠如,けつじょ,Lack,缺乏,thiếu sót
0144,結成,けっせい,"Form, organize",结成、组建,thành lập
0145,決着,けっちゃく,"End, be settled",了结、结果,kết thúc
0146,欠乏,けつぼう,"Be short of, be deficient in",缺少、不足,thiếu hụt
0147,懸念,けねん,Worry,担心,"lo lắng, quan ngại"
0148,件,けん,"Matter, item",事情、要事,"việc, chuyện"
0149,権威,けんい,"Authority, specialist",权威、专家,uy quyền
0150,見解,けんかい,"View, opinion",见解,"ý kiến, quan điểm"
0151,原形,げんけい,Original form,原形,nguyên trạng
0152,権限,けんげん,"Power, authority",权限,thẩm quyền
0153,懸賞,けんしょう,Prize,悬赏、奖金,phần thưởng
0154,検証,けんしょう,"Inspect, verify",验证,kiểm chứng / xem xét
0155,原則,げんそく,Principle,原则,nguyên tắc
0156,現地,げんち,Locality,现场、现地,địa điểm (xảy ra sự việc được đề cập)
0157,原点,げんてん,Origin,原点、出发点,điểm khởi đầu
0158,言動,げんどう,What you say and do,言行,ngôn từ và hành động
0159,兼用,けんよう,Have a double use,兼用,dùng cho cả hai
0160,行為,こうい,"Behavior, conduct",行为,hành vi
0161,合意,ごうい,Agree,同意、意见一致,"thống nhất, đồng ý"
0162,抗議,こうぎ,"Protest, complain",抗议,"phản đối, phản ảnh"
0163,皇居,こうきょ,Imperial Palace,皇居、皇宫,hoàng cung
0164,後継者,こうけいしゃ,"Heir, successor",后继者,"người nối nghiệp, người thừa kế"
0165,更新,こうしん,"Update, renew",更新,"gia hạn, đổi cái mới"
0166,功績,こうせき,Achievement,功绩,công trạng
0167,構想,こうそう,"Conceptualize, create a concept",设想、构想,"thiết kế, lên kế hoạch"
0168,後退,こうたい,Retreat,后退；衰退,lùi lại / suy thoái
0169,荒廃,こうはい,"Go to ruin, be in ruins",荒废、荒芜,"đổ nát, bị tàn phá"
0170,好評,こうひょう,Favorable (response),好评,"được khen ngợi, được yêu thích"
0171,合理化,ごうりか,"Streamline, rationalize",合理化,hợp lý hóa
0172,効率,こうりつ,Efficiency,效率,"hiệu quả, năng suất"
0173,克服,こくふく,Overcome,克服,khắc phục
0174,個々,ここ,One by one,各个、每个,từng thứ
0175,心当たり,こころあたり,"(Have no) idea, clue",头绪、线索,"sự đoán chừng, sự hay biết"
0176,試み,こころみ,"Attempt, trial",尝试,cuộc thử nghiệm
0177,誇張,こちょう,"Exaggerate, boast",夸张,phóng đại
0178,こつ,,"Knack, hang of",诀窍、窍门,mấu chốt
0179,個別,こべつ,Individual,个别,riêng biệt
0180,固有,こゆう,"Native, peculiar to",特有,"bản địa, đặc trưng"
0181,根底,こんてい,"Basis, foundation",根本、深处,"gốc rễ, nền tảng"
0182,混同,こんどう,"Confuse, mix up",混淆,lẫn lộn
0183,コントラスト,,Contrast,对比,sự tương phản
0184,サイクル,,Cycle,循环、周期,chu kỳ
0185,歳月,さいげつ,"Years, time",岁月,năm tháng
0186,再建,さいけん,Rebuild,重建,tái xây dựng
0187,再現,さいげん,"Reproduce, bring to life",再现,tái hiện
0188,最善,さいぜん,Best,最佳、最好,tối ưu
0189,逆立ち,さかだち,Do a handstand,倒立,chổng ngược người
0190,盛り,さかり,"Prime, bloom",全盛状态、鼎盛时期,"sự nở rộ, thời điểm mãn khai, thời hoàng kim"
0191,削減,さくげん,Reduce,削减,cắt giảm
0192,作戦,さくせん,Strategy,战略,"chiến lược, chiến thuật"
0193,指図,さしず,"Order, command",吩咐、指示,chỉ dẫn
0194,挫折,ざせつ,"Frustrate, thwart",挫折,(kế hoạch / công việc) đổ vỡ
0195,錯覚,さっかく,Be under a false impression,错觉、误以为,bị ảo giác / nhìn nhầm
0196,殺到,さっとう,"Rush, flood, throng",蜂拥而至、纷至沓来,đổ dồn
0197,サポート,,Support,支撑、支持,hỗ trợ / cổ động
0198,作用,さよう,"Act, function",作用,tác dụng
0199,シェア,,Share,共享,dùng chung
0200,支援,しえん,Support,支援、帮助,giúp đỡ
0201,視界,しかい,Field of vision,视界、视野,tầm nhìn
0202,自覚,じかく,Be aware,自知,tự nhận thấy
0203,仕掛け,しかけ,Mechanism,机关、装置,thiết bị / cơ chế
0204,指揮,しき,"Command, direct",指挥,"chỉ đạo, chỉ huy"
0205,敷地,しきち,"Site, plot",用地、地皮,mảnh đất
0206,軸,じく,Axis,轴、中心轴；轴心（人物）、中枢,cái trục / lõi
0207,仕組み,しくみ,Mechanism,结构、构造,cấu trúc
0208,自己,じこ,"Self, own",自己、自身,cái tôi
0209,志向,しこう,Be intended to,志向,hướng đến
0210,事項,じこう,Item,事项,"đề mục, điểm"
0211,試行錯誤,しこうさくご,Take a trial and error approach,尝试错误、摸索尝试,thử nghiệm và sai lầm
0212,示唆,しさ,Suggest,启示、启发,"gợi ý, gợi mở"
0213,視察,しさつ,Inspect,视察,thị sát
0214,支障,ししょう,"Hindrance, obstacle",阻碍、妨碍,trở ngại
0215,持続,じぞく,"Continue, remain",持续,kéo dài
0216,事態,じたい,Situation,事态,tình hình
0217,辞退,じたい,"Decline, turn down",谢绝、推辞,từ chối
0218,下地,したじ,"Groundwork, undercoat",底层,"nền móng, lớp nền"
0219,下火,したび,"Wane, abate",衰退,"sự yếu đi, giảm đi"
0220,失格,しっかく,Be disqualified,失去资格,bị loại
0221,実在,じつざい,"Actually exist, be real",实际存在,"có thực, có tồn tại"
0222,実情,じつじょう,"Facts, actual circumstances",实情,thực trạng
0223,実践,じっせん,Put into practice,实践、实行,"thực hành, luyện tập"
0224,実態,じったい,Actual condition,实际状态、实况,tình hình thực tế
0225,指摘,してき,Point out,指出,chỉ ra
0226,視点,してん,Viewpoint,视点、角度,"cách nhìn, quan điểm / tiêu điểm"
0227,私物,しぶつ,Private property,私有物、个人的所有物,vật sở hữu riêng
0228,使命,しめい,Mission,使命,sứ mệnh
0229,指名,しめい,"Appoint, name",指定、指名,"bổ nhiệm, chỉ định / gọi tên"
0230,視野,しや,Field of view,视野；眼界、眼光,tầm nhìn / tầm hiểu biết
0231,遮断,しゃだん,"Block out, cut off",遮断、挡住,"gián đoạn, cắt đứt"
0232,私有,しゆう,Own privately,私有、私人所有,tư hữu
0233,集計,しゅうけい,Collate,汇总、总计,"tổng hợp, tổng kết"
0234,収集,しゅうしゅう,Collect,收集,thu thập / sưu tầm
0235,収納,しゅうのう,Store,收纳,cất giữ
0236,収容,しゅうよう,"Accommodate, house",容纳,chứa
0237,従来,じゅうらい,"Conventional, usual",过去、以前,có từ trước
0238,守衛,しゅえい,Security guard,门卫、保安,người gác cổng
0239,主催,しゅさい,"Hold, arrange, sponsor, host",主办,"đứng ra tổ chức, tổ chức chính"
0240,主体,しゅたい,"Main agent, main driver, core entity",主体；（团体或机器等的）主要部分,chủ thể / bộ phận chính
0241,出現,しゅつげん,"Appear, emerge",出现,xuất hiện
0242,主導,しゅどう,"Lead, initiate",主导,lãnh đạo
0243,主任,しゅにん,"Manager, head",主管、负责人,trưởng bộ phận
0244,手法,しゅほう,Method,方法,"kỹ thuật, kỹ năng"
0245,仕様,しよう,Specification,规格,"thiết kế, cấu tạo"
0246,私用,しよう,For private use,私用,"việc riêng, việc cá nhân"
0247,衝撃,しょうげき,"Impact, shock",冲击；内心强烈的震动,chấn động / cú sốc
0248,照合,しょうごう,Check by comparison,核对,đối chiếu
0249,情勢,じょうせい,Situation,情势、形势,"thời thế, tình hình"
0250,正体,しょうたい,"Real nature, true colors",真面目、原形,chân tướng
0251,承諾,しょうだく,"Agree, consent",承诺、应允,"chấp thuận, chấp nhận"
0252,情緒,じょうちょ/じょうしょ,Emotion,情绪；情趣、风情,"cảm xúc / bầu không khí, khí chất"
0253,象徴,しょうちょう,Symbolize,象征,tượng trưng cho
0254,譲歩,じょうほ,"Make concession, compromise",让步,"nhượng bộ, thỏa hiệp"
0255,消耗,しょうもう,"Exhaust, use up",耗尽、疲惫,"tiêu thụ, kiệt sức"
0256,奨励,しょうれい,Incentivize,奖励、鼓励,khuyến khích
0257,除外,じょがい,Exclude,排除在外,"loại trừ, bỏ ra"
0258,所在,しょざい,Whereabouts,所在、（人或物）所在地,nơi ở
0259,所持,しょじ,"Own, possess",持有、携带,"sở hữu, có bên mình"
0260,処置,しょち,Treat,医疗处理、治疗,xử trí
0261,所定,しょてい,"Required, stated",规定,"theo mẫu, được chỉ định"
0262,処分,しょぶん,"Dispose of, sanction",处理；处分,vứt bỏ / phạt
0263,所要時間,しょようじかん,Time required,所需时间,thời gian cần thiết
0264,自立,じりつ,Become self-reliant,自立,tự lập
0265,指令,しれい,"Command, order",指令,mệnh lệnh
0266,事例,じれい,Case,事例,vụ việc
0267,ジレンマ,,Dilemma,进退维谷、两难,tình thế khó xử
0268,侵害,しんがい,Infringe on,侵害、侵犯,xâm phạm
0269,審査,しんさ,Review,审查、评审,"xét tuyển, xem xét"
0270,真相,しんそう,"Truth, reality",真相,sự thật
0271,新築,しんちく,Newly build,新建,xây mới
0272,進呈,しんてい,"Present, give",赠送,"biếu, tặng"
0273,進展,しんてん,"Proceed, develop",进展,tiến triển
0274,振動,しんどう,Vibrate,震动,rung động
0275,神秘,しんぴ,"Mystery, wonder",神秘,sự thần bí
0276,真理,しんり,Truth,真理,chân lý
0277,推移,すいい,"Transition, change",推移、演变,"thay đổi, biến động"
0278,遂行,すいこう,"Carry out, perform",落实、完成,hoàn thành
0279,推進,すいしん,"Promote, encourage",推动,thúc đẩy
0280,衰退,すいたい,"Decay, decline",衰退,suy giảm
0281,推定,すいてい,Estimate,推定、估计,dự đoán
0282,推理,すいり,"Infer, deduce",推理、推断,suy luận
0283,救い,すくい,Deliverance,救赎,sự cứu rỗi
0284,スケール,,"Scale, ruler",尺；规模,cái cân / quy mô
0285,ストック,,Stock up,存储、贮存,dự trữ
0286,ずぶぬれ,,Be soaked,全身湿透,ướt sũng
0287,スリル,,Thrill,惊险、刺激,sự hồi hộp
0288,成果,せいか,"Result, benefit",成果,thành quả
0289,正規,せいき,Regular,正式、正规,"chính quy, chính thức"
0290,征服,せいふく,Conquer,征服,chinh phục
0291,制約,せいやく,Constrain,制约、限制,hạn chế
0292,勢力,せいりょく,"Power, sway",势力,quyền lực
0293,是正,ぜせい,"Correct, rectify",改正、修正,chỉnh sửa
0294,世相,せそう,Social conditions,世态、社会情况,điều kiện hoặc khía cạnh xã hội
0295,接触,せっしょく,Contact,接触,tiếp xúc
0296,切断,せつだん,"Disconnect, cut off",切断、隔断,cắt đứt
0297,設置,せっち,Install,设置、备置安装,lắp đặt
0298,設立,せつりつ,Establish,设立、创办,lập ra
0299,善悪,ぜんあく,Right and wrong,善恶,tốt xấu
0300,先行,せんこう,"Precede, come first",先行,"đi trước, dẫn trước, có trước"
0301,選考,せんこう,"Select, screen",选拔、权衡,tuyển chọn
0302,宣告,せんこく,"Declare, sentence",宣告、告知,"thông báo, tuyên bố"
0303,全盛,ぜんせい,"Peak, best days",鼎盛,"hoàng kim, đỉnh cao"
0304,先着,せんちゃく,First (to arrive),先到,đến trước
0305,前提,ぜんてい,"Premise, assumption",前提,"tiền đề, cơ sở"
0306,先入観,せんにゅうかん,"Prejudice, preconception",先入之见、成见,định kiến
0307,専念,せんねん,Concentrate on,专心,"tập trung, cống hiến"
0308,全滅,ぜんめつ,Annihilate,全灭,bị hủy diệt
0309,洗練,せんれん,Refine,洗练、考究,"mài giũa, hoàn thiện"
0310,相違,そうい,"Differ, vary",不同、分歧,khác biệt
0311,増強,ぞうきょう,Strengthen,增强、加强,"tăng cường, củng cố"
0312,喪失,そうしつ,Lose,丧失、失去,đánh mất
0313,装飾,そうしょく,Decorate,装饰、装潢,trang hoàng
0314,増進,ぞうしん,Improve,增进,gia tăng
0315,創造,そうぞう,Create,创造,sáng tạo
0316,装備,そうび,Equip,装备、安装,trang bị
0317,創立,そうりつ,Establish,创立,sáng lập
0318,促進,そくしん,"Promote, facilitate",促进,xúc tiến
0319,束縛,そくばく,"Curtail, restrict",束缚、限制,ràng buộc
0320,素材,そざい,"Material, ingredient",原材料、原料,nguyên liệu
0321,阻止,そし,"Stop, prevent",阻止,ngăn chặn
0322,素質,そしつ,Predisposition,天分、天赋,tố chất
0323,存続,そんぞく,"Keep going, stay in existence",存续、延续,tiếp tục tồn tại
0324,ターゲット,,Target,目标、对象,mục tiêu
0325,対応,たいおう,"Respond to, deal with",应对,đối ứng
0326,待遇,たいぐう,Treatment,待遇,đãi ngộ
0327,対決,たいけつ,"Clash, confront",对决、交锋,"đối đầu, đối chất"
0328,対抗,たいこう,"Compete with, oppose",对抗、抗衡,cạnh tranh
0329,第三者,だいさんしゃ,Third party,第三方、局外人,bên thứ ba
0330,対処,たいしょ,"Deal with, cope with",对付、处理,xử lý
0331,対照,たいしょう,"Contrast, compare",对照,so sánh
0332,態勢,たいせい,"Condition, position",态势、阵势,trạng thái
0333,対比,たいひ,"Contrast, compare",对比,so sánh
0334,待望,たいぼう,Look forward to,期盼、期望,mong đợi
0335,代用,だいよう,Substitute,代用、代替使用,thay thế
0336,打開,だかい,"Break through, overcome",解决、打破（僵局）,"phá vỡ, đột phá"
0337,妥協,だきょう,Compromise,妥协,thỏa thuận
0338,打撃,だげき,"Blow, setback",打击,"tổn thất, thiệt hại"
0339,脱出,だっしゅつ,"Escape, get out",逃脱、逃离,chạy thoát
0340,達成,たっせい,"Achieve, reach",达成,đạt được
0341,建前,たてまえ,"Front, public position",场面话,xã giao ngoài mặt
0342,タブー,,Taboo,禁忌,điều kiêng kỵ
0343,ダメージ,,Damage,损失、重创,thiệt hại
0344,探検,たんけん,Explore,探险,thám hiểm
0345,短縮,たんしゅく,Shorten,缩短,được rút ngắn
0346,断絶,だんぜつ,"Sever, cut",断绝,cắt đứt
0347,弾力,だんりょく,Elasticity,弹力、弹性,độ đàn hồi
0348,蓄積,ちくせき,"Accumulate, build up",积蓄、积累,tích lũy
0349,着手,ちゃくしゅ,"Start, launch",着手、开始,"bắt đầu, triển khai"
0350,着目,ちゃくもく,Focus on,着眼,chú ý tới
0351,着用,ちゃくよう,"Put on, wear",穿、戴,"mặc, thắt, đeo vào"
0352,着工,ちゃっこう,Start works,开工、动工,khởi công
0353,中断,ちゅうだん,"Discontinue, stop",中断,"trì hoãn, gián đoạn"
0354,超越,ちょうえつ,Transcend,超越,vượt lên trên
0355,兆候,ちょうこう,Sign,征兆、迹象,triệu chứng
0356,挑戦,ちょうせん,Take up a challenge,挑战,thách thức
0357,直面,ちょくめん,Be faced with,直面,đối mặt
0358,貯蔵,ちょぞう,Store,储藏、储存,"bảo quản, cất trữ"
0359,直感,ちょっかん,"Intuition, gut-feeling",直觉,trực giác
0360,賃金,ちんぎん,Wage,工资、薪水,tiền lương
0361,沈黙,ちんもく,Be silent,沉默,im lặng
0362,追及,ついきゅう,"Pursue, hold to account",追究,truy cứu
0363,追求,ついきゅう,"Seek, pursue",追求,"theo đuổi, mưu cầu"
0364,使い道,つかいみち,"Use, application",用途、用法,cách sử dụng
0365,つじつま,,Consistency,逻辑、条理,đầu đuôi
0366,艶,つや,"Gloss, sheen",光泽,sự bóng bẩy
0367,提起,ていき,"Raise, cite",提出,nêu lên
0368,定義,ていぎ,Define,定义,định nghĩa
0369,提供,ていきょう,Provide,提供,cung cấp
0370,体裁,ていさい,"Appearance, looking decent",形态、外观；体面,hình dạng / thể diện
0371,提示,ていじ,"Present, show",提示、出示,xuất trình
0372,訂正,ていせい,"Correct, amend",订正、修正,sửa
0373,停滞,ていたい,Stagnate,停滞,trì trệ
0374,定着,ていちゃく,Take root,固定、扎根,"trụ vững, bám chắc"
0375,堤防,ていぼう,Embankment,堤坝,"con đê, bờ kè"
0376,手掛かり,てがかり,Clue,线索,"manh mối, chỗ bám"
0377,適応,てきおう,Adapt,适应,thích ứng
0378,的中,てきちゅう,"Hit home, get it right",猜中,"đoán trúng, trúng đích"
0379,手際,てぎわ,Skill,（处理事务的）方法、技巧,"tay nghề, kỹ năng"
0380,テクニック,,Technique,技巧、技术,kỹ thuật
0381,手順,てじゅん,Procedure,顺序、步骤,trình tự
0382,手数,てすう/てかず,"Bother, inconvenience",麻烦、费事,sự làm phiền
0383,撤回,てっかい,"Withdraw, revoke",撤回、撤销,rút lại
0384,手配,てはい,Arrange,安排、筹备,"sắp xếp, chuẩn bị"
0385,手引き,てびき,Guide,引路、向导；引导、启蒙、入门书,chỉ điểm / hướng dẫn
0386,デマ,,Rumor,谣言,tin đồn thất thiệt
0387,手元,てもと,At hand,手头,bên mình
0388,手分け,てわけ,Divide work up,分头、分工,chia ra
0389,田園,でんえん,Countryside,田园,nông thôn
0390,転換,てんかん,"Convert, transform",转变,"thay đổi, chuyển đổi"
0391,点検,てんけん,Inspect,逐一检查,kiểm tra
0392,展望,てんぼう,Have a view of,瞭望、眺望,ngắm nhìn
0393,棟,とう,"Block, wing",屋脊长的建筑,"tòa nhà, dãy nhà"
0394,同意,どうい,"Consent, agree",同意,đồng ý
0395,統合,とうごう,"Integrate, amalgamate",统一、合并,"kết hợp, hợp nhất"
0396,動向,どうこう,Trend,动向,xu thế
0397,統制,とうせい,Bring under control,协调一致,kiểm soát
0398,到達,とうたつ,"Reach, attain",抵达、到达,"đến nơi, đạt được"
0399,投入,とうにゅう,Invest,投入,đổ vào
0400,同封,どうふう,"Enclose, include",附在信内、随函,gửi kèm
0401,動揺,どうよう,Be shaken,动摇、不安,dao động
0402,独自,どくじ,"Unique, distinctive",独特,"bản sắc, cá nhân, đặc hữu"
0403,特派員,とくはいん,Correspondent,特派记者,đặc phái viên
0404,特有,とくゆう,Distinctive,特有,đặc trưng
0405,途上,とじょう,On the way,中途,"trên đường, đang"
0406,土台,どだい,Foundation(s),地基；根基、基础,nền móng / nền tảng
0407,特権,とっけん,"Privilege, special right",特权,đặc quyền
0408,突破,とっぱ,Break through,冲破、突破；超额、超量,đột phá / tăng vọt
0409,度忘れ,どわすれ,Have a lapse of memory,一时蒙住、突然忘记,quên béng
0410,内緒,ないしょ,Confidential,保密,bí mật
