no,tango,kana,en,zh,vi
0109,背,せ／せい,height,身高,chiều cao
0110,両手,りょうて,both hands,双手,hai tay
0111,喉,のど,throat,喉咙,cổ họng
0112,ひげ,,"beard, mustache",胡须,râu
0113,運動,うんどう,exercise,运动,tập thể dục
0114,ジョギング,,jog,慢跑,chạy bộ
0115,血,ち,blood,血液,máu
0116,熱,ねつ,fever,热度,nhiệt độ
0117,体温計,たいおんけい,thermometer,体温计,nhiệt kế
0118,具合,ぐあい,condition,状况,tình trạng
0119,ストレス,,stress,压力,sự căng thẳng
0120,アレルギー,,allergy,过敏,sự dị ứng
0121,熱中症,ねっちゅうしょう,heatstroke,中暑,chứng say nắng
0122,けが,,be injured,受伤,bị thương
0123,保険証 （健康保険証）,ほけんしょう<br />（けんこうほけんしょう）,health insurance card,保险证<br />（健康保险证）,thẻ bảo hiểm y tế
0124,予防接種,よぼうせっしゅ,vaccination,预防针接种,sự chủng ngừa
0125,注射,ちゅうしゃ,inject,打针,tiêm vào
0126,入院,にゅういん,be hospitalized,住院,nhập viện
0127,お見舞い,おみまい,visiting someone who is ill,看望,sự thăm bệnh
0128,退院,たいいん,be discharged,出院,xuất viện
0129,背中,せなか,back,背部,lưng
0130,髪,かみ,hair,头发,tóc
0131,首,くび,neck,脖子,cổ
0132,おなか,,stomach,肚子,bụng
0133,指,ゆび,finger,手指,ngón tay
0134,右手,みぎて,right hand,右手,tay phải
0135,腕,うで,arm,手腕,cánh tay
0136,心,こころ,"heart, mind",内心、心灵,tấm lòng
0137,気持ち,きもち,feeling,感受；心情,"cảm xúc, cảm giác"
0138,気分,きぶん,mood,心情,tâm trạng
0139,楽しみ,たのしみ,looking forward,期待,sự háo hức
0140,興味,きょうみ,interest,兴趣,hứng thú
0141,チャレンジ,,challenge,挑战,thử thách
0142,注意,ちゅうい②,be careful,谨慎,chú ý
0143,遠慮,えんりょ,be reserved,客气,ngại
0144,心配,しんぱい,worry,担心,lo lắng
0145,考え,かんがえ,idea,想法、看法,"tư duy, tư tưởng"
0146,意見,いけん,opinion,意见,ý kiến
0147,反対,はんたい,be opposed,反对,phản đối
0148,教育,きょういく,educate,教育,giáo dục
0149,小学校,しょうがっこう,primary school,小学,trường cấp 1
0150,中学校,ちゅうがっこう,junior high school,初中,trường cấp 2
0151,高校／ 高等学校,こうこう／<br />こうとうがっこう,high school,高中,trường cấp 3
0152,専門学校,せんもんがっこう,vocational school,专修学校,trường dạy nghề
0153,小学生,しょうがくせい,primary school student,小学生,học sinh cấp 1
0154,中学生,ちゅうがくせい,junior high school student,初中生,học sinh cấp 2
0155,高校生,こうこうせい,high school student,高中生,học sinh cấp 3
0156,大学生,だいがくせい,university student,大学生,sinh viên đại học
0157,同級生,どうきゅうせい,classmate,同学,bạn cùng lớp
0158,担任,たんにん,homeroom teacher,班主任,chủ nhiệm
0159,校長,こうちょう,principal,校长,hiệu trưởng
0160,入学試験,にゅうがくしけん,entrance examination,入学考试,kỳ thi tuyển sinh
0161,入学,にゅうがく,enter school,入学,nhập học
0162,卒業,そつぎょう,graduate,毕业,tốt nghiệp
0163,出席,しゅっせき,attend,出席,tham dự
0164,早退,そうたい,leave early,早退,về sớm
0165,予習,よしゅう,prepare for a lesson,预习,chuẩn bị bài
0166,復習,ふくしゅう,"review, revise",复习,ôn tập
0167,テキスト,,text,教材,sách giáo khoa
0168,数学,すうがく,mathematics,数学,môn Toán
0169,発音,はつおん,pronounce,发音,phát âm
0170,辞典,じてん,dictionary,辞典,tự điển
0171,国語辞典,こくごじてん,Japanese dictionary,国语辞典,tự điển quốc ngữ
0172,字,じ,"character, letter",字,chữ
0173,文法,ぶんぽう,grammar,语法,ngữ pháp
0174,試験,しけん,examination,考试,kỳ thi
0175,答え,こたえ,answer,答案,câu trả lời
0176,レポート／ リポート,,report,报告,bài báo cáo
0177,講義,こうぎ,lecture,讲课,thuyết giảng
0178,研究,けんきゅう,"research, study",研究,nghiên cứu
0179,研究室,けんきゅうしつ,"laboratory, office",研究室,phòng nghiên cứu
0180,専門,せんもん,specialty,专业,chuyên môn
0181,成績証明書,せいせきしょうめいしょ,"transcript, copy of a student’s educational record",成绩单,bảng điểm
0182,学費,がくひ,tuition fees,学费,học phí
0183,学割,がくわり,student discount,学生优惠,sự giảm giá cho sinh viên
0184,社会,しゃかい,society,社会,xã hội
0185,市民,しみん,citizen,市民,cư dân thành phố
0186,経済,けいざい,economy,经济,kinh tế
0187,産業,さんぎょう,industry,产业,ngành sản xuất
0188,生産,せいさん,produce,生产,sản xuất
0189,工業,こうぎょう,manufacturing industry,工业,công nghiệp
0190,工場,こうじょう,factory,工厂,nhà máy
0191,機械,きかい,machinery,机器,máy móc
0192,日本製,にほんせい,made in Japan,日本制造,sản xuất tại Nhật
0193,貿易,ぼうえき,trade,贸易,thương mại
0194,輸出,ゆしゅつ,export,出口,xuất khẩu
0195,輸入,ゆにゅう,import,进口,nhập khẩu
0196,政治,せいじ,politics,政治,chính trị
0197,法律,ほうりつ,law,法律,pháp luật
0198,規則,きそく,rule,规章（制度）,quy định
0199,戦争,せんそう,be at war,战争,chiến tranh
0200,人口,じんこう,population,人口,dân số
0201,環境,かんきょう,environment,环境,môi trường
0202,エコ （エコロジー）,,ecology,环保,vì môi trường
0203,リサイクル,,recycle,回收利用,tái chế
0204,地理,ちり,geography,地理,địa lý
0205,世界,せかい,world,世界,thế giới
0206,世界中,せかいじゅう,all over the world,全世界,toàn thế giới
0207,国際社会,こくさいしゃかい,international community,国际社会,cộng đồng quốc tế
0208,国内,こくない,domestic,国内,trong nước
0209,都,と,metropolis,都,thủ đô
0210,県,けん,prefecture,县,tỉnh
0211,市,し,city,市,thành phố
0212,市役所,しやくしょ,city office,市政府,ủy ban thành phố
0213,区役所,くやくしょ,ward office,区政府,ủy ban quận
0214,保健所,ほけんじょ／ほけんしょ,health center,卫生所,trạm y tế
0215,大使館,たいしかん,embassy,大使馆,đại sứ quán
0216,ＩＴ,アイティー,IT,信息技术,công nghệ thông tin
0217,科学,かがく,science,科学,khoa học
0218,技術,ぎじゅつ,technology / technique,技术；技艺,kỹ thuật
0219,コンピューター／ コンピュータ,,computer,计算机,máy tính
0220,ロボット,,robot,机器人,người máy
0221,パソコン,,"personal computer, PC",电脑,máy tính cá nhân
0222,キー,,key,按键,phím
0223,ソフト,,software,软件,phần mềm
0224,ネット （インターネット）,,Net (Internet),网络,mạng (internet)
0225,サイト （ウェブサイト）,,site (website),网站,trang (mạng)
0226,検索,けんさく,search,搜索,tìm kiếm
0227,ダウンロード,,download,下载,tải về
0228,パスワード,,password,密码,mật khẩu
0229,アプリ,,app,应用软件,ứng dụng
0230,充電,じゅうでん,charge,充电,sạc pin
0231,携帯電話／ ケータイ,けいたいでんわ,mobile phone,手机,điện thoại di động
0232,スマホ （スマートフォン）,,smartphone,智能手机,điện thoại thông minh
0233,メール,,email,发邮件,gửi email
0234,パート（パートタイム）,,part-time work,兼职,việc làm bán thời gian
0235,バイト（アルバイト）,,part-time work,打工,việc làm thêm
0236,履歴書,りれきしょ,"résumé, CV",简历,sơ yếu lý lịch
0237,給料,きゅうりょう,salary,工资,lương
0238,会議,かいぎ,"meeting, conference",会议,hội nghị
0239,ミーティング,,meeting,会议,cuộc họp
0240,残業,ざんぎょう,do overtime,加班,làm thêm giờ
0241,公務員,こうむいん,civil servant,公务员,công chức
0242,課長,かちょう,manager,科长,trưởng nhóm
0243,部長,ぶちょう,general manager,主任,trưởng phòng
0244,社長,しゃちょう,president,总经理,giám đốc
0245,アナウンサー,,announcer,播音员,phát thanh viên
0246,運転手,うんてんしゅ,driver,司机,tài xế
0247,駅員,えきいん,station employee,站务员,nhân viên nhà ga
0248,音楽家,おんがくか,musician,音乐家,nhạc sĩ
0249,看護師,かんごし,nurse,护士,y tá
0250,警官,けいかん,police officer,警察,cảnh sát
0251,政治家,せいじか,politician,政治家,chính trị gia
0252,店員,てんいん,sales clerk,店员,nhân viên cửa hàng
0253,歯医者,はいしゃ,dentist,牙医,nha sĩ
0254,駅前,えきまえ,in front of the station,车站前,khu vực trước ga
0255,美術館,びじゅつかん,art gallery,美术馆,bảo tàng mỹ thuật
0256,保育所,ほいくしょ／ほいくじょ,nursery school,托儿所,nhà trẻ
0257,教会,きょうかい,church,教堂,nhà thờ
0258,坂,さか,hill,坡,con dốc
0259,郊外,こうがい,suburb,郊外,ngoại ô
0260,田舎,いなか,countryside,乡下,vùng quê
0261,神社,じんじゃ,shrine,神社,đền Thần đạo
0262,交差点,こうさてん,"intersection, crossing",十字路口,ngã tư
0263,美容院,びよういん,"beauty parlor, hairdresser&apos;s",美发店,tiệm làm tóc
0264,カフェ,,café,咖啡馆,quán cà-phê
0265,角,かど,corner,拐角,góc
0266,床屋,とこや,barber,理发店,tiệm cắt tóc
0267,コインランドリー,,"laundromat, launderette",自助洗衣房,tiệm giặt tự động
0268,ＡＴＭ,エーティーエム,ATM,自动取款机,máy ATM
0269,自転車置き場,じてんしゃおきば,bicycle parking space,自行车停车场,bãi để xe đạp
0270,ポスト,,mailbox,邮筒,thùng thư
0271,バス停,バスてい,bus stop,公交车站,trạm xe buýt
0272,動物園,どうぶつえん,zoo,动物园,sở thú
0273,自動販売機,じどうはんばいき,vending machine,自动售货机,máy bán hàng tự động
0274,ガソリンスタンド,,gas/petrol station,加油站,cây xăng
0275,寺,てら,temple,寺庙,chùa
0276,スーパー （スーパーマーケット）,,supermarket,超市,siêu thị
0277,駐車場,ちゅうしゃじょう,car park,停车场,bãi đậu xe
0278,通り,とおり,street,路,con đường
0279,コンビニ,,convenience store,便利店,cửa hàng tiện lợi
0280,建物,たてもの,building,建筑物,tòa nhà
0281,マンション,,condominium,公寓,căn hộ chung cư
0282,門,もん,gate,大门,cổng
0283,玄関,げんかん,entranceway,玄关,"gian ngoài, lối đi vào"
0284,洗面所,せんめんじょ,washroom,洗手间,phòng rửa mặt
0285,お手洗い,おてあらい,toilet,厕所,nhà vệ sinh
0286,暖房,だんぼう,heater,暖气,máy sưởi
0287,冷房,れいぼう,cooler,冷气,máy lạnh
0288,ガス,,gas,煤气,ga
0289,水道,すいどう,water supply,自来水,hệ thống cấp nước
0290,電灯,でんとう,light,电灯,đèn điện
0291,ビル,,building,大楼,cao ốc
0292,事務所,じむしょ,office,办公室,văn phòng
0293,案内所,あんないじょ,information office,问讯处,phòng hướng dẫn
0294,戸,と,door,门,cửa
0295,棚,たな,shelf,架子,kệ
0296,引き出し,ひきだし,drawer,抽屉,ngăn kéo
0297,ボタン,,button,按钮,nút bấm
0298,エアコン,,air conditioner,空调,máy điều hòa
0299,リビング （リビングルーム）,,living room,起居室,phòng khách
0300,カーテン,,curtain,窗帘,màn cửa
0301,リモコン,,remote control,遥控器,thiết bị điều khiển từ xa
0302,ピアノ,,piano,钢琴,dương cầm
0303,押し入れ,おしいれ,closet,壁橱,tủ đựng đồ
0304,壁,かべ,wall,墙,tường
0305,布団,ふとん,futon,被子、褥子,bộ chăn nệm
0306,畳,たたみ,tatami,榻榻米,chiếu Nhật
0307,会議室,かいぎしつ,meeting room,会议室,phòng họp
0308,屋上,おくじょう,rooftop,屋顶,sân thượng
0309,階段,かいだん,stairs,楼梯,thang bộ
0310,受付,うけつけ,reception,接待处,quầy tiếp tân
0311,エスカレーター,,escalator,自动扶梯,thang cuốn
0312,生活,せいかつ,live,生活,sống
0313,家庭,かてい,family,家庭,gia đình
0314,習慣,しゅうかん,habit,习惯,thói quen
0315,支度,したく,get ready,准备,chuẩn bị
0316,世話,せわ,care,照顾,sự chăm sóc
0317,用,よう,"business, something to do",事情,"việc, chuyện"
0318,用事,ようじ,"business, something to do",事情,"công việc, công chuyện"
0319,留守,るす,being away,不在家,sự vắng mặt
0320,寝坊,ねぼう,oversleep,睡过头,ngủ quên
0321,忘れ物,わすれもの,forgotten item,遗忘物品,đồ để quên
0322,日記,にっき,diary,日记,nhật ký
0323,遊び,あそび,play,游戏,trò chơi
0324,おもちゃ,,toy,玩具,đồ chơi
0325,ペット,,pet,宠物,thú nuôi
0326,毛,け,hair,毛发,lông
0327,（お）湯,（お）ゆ,hot water,热水,nước nóng
0328,鏡,かがみ,mirror,镜子,gương
0329,道具,どうぐ,tool,用具,dụng cụ
0330,ベビーカー,,stroller,婴儿车,xe đẩy em bé
0331,電気代,でんきだい,electricity bill,电费,tiền điện
0332,カード,,card,卡,thẻ
0333,暗証番号,あんしょうばんごう,"PIN, personal identification number",密码,số mật khẩu
0334,カタログ,,catalog,商品目录,ca-ta-lô
0335,セール （バーゲンセール）,,sale (bargain sale),大减价,đợt bán hạ giá
0336,売り場,うりば,sales floor / area,卖场,quầy hàng
0337,品物,しなもの,goods,商品,hàng hóa
0338,値段,ねだん,price,价格,giá cả
0339,お釣り,おつり,change,找零,tiền thừa hoàn lại
0340,レジ,,"cash register, checkout counter",收银机、收银台,"máy tính tiền, quầy thu ngân"
0341,レシート,,receipt,收据,hóa đơn
0342,チャージ,,charge,充值,nạp thêm
0343,段ボール,だんボール,cardboard box,纸板箱,thùng cạc-tông
0344,ごみ,,trash,垃圾,rác
0345,ごみ箱,ごみばこ,trash can,垃圾桶,thùng rác
0346,掃除機,そうじき,vacuum cleaner,吸尘器,máy hút bụi
0347,洗濯機,せんたくき,washing machine,洗衣机,máy giặt
0348,タオル,,towel,毛巾,khăn lau
0349,電池,でんち,battery,电池,pin
0350,シャンプー,,shampoo,洗发水,dầu gội đầu
0351,トイレットペーパー,,toilet paper,厕纸,giấy vệ sinh
0352,カッター,,cutter,美工刀,dao rọc giấy
0353,消しゴム,けしゴム,eraser,橡皮,"gôm, tẩy"
0354,シャーペン （シャープペンシル）,,mechanical pencil,自动铅笔,bút chì bấm
0355,セロテープ,,Scotch tape,透明胶带,băng keo
0356,はさみ,,scissors,剪刀,kéo
0357,ホッチキス,,stapler,订书机,cái dập ghim
0358,ヘッドホン,,headphones,头戴式耳机,tai nghe
0359,イヤホン,,earphones,耳机,tai nghe trong
0360,ＣＤ,シーディー,CD,光盘,dĩa CD
0361,ボール,,ball,球,quả bóng
0362,食事,しょくじ,have a meal,吃饭,dùng bữa
0363,お昼,おひる,lunch,午饭,bữa trưa
0364,ごちそう,,treat,请客,thết đãi
0365,味,あじ,taste,味道,vị
0366,食料品,しょくりょうひん,groceries,食品,thực phẩm
0367,アルコール,,alcohol,酒精,cồn
0368,しょうゆ,,soy sauce,酱油,nước tương
0369,ジャム,,jam,果酱,mứt
0370,トースター,,toaster,烤面包机,máy nướng bánh mì
0371,電子レンジ,でんしレンジ,microwave oven,微波炉,lò vi sóng
0372,米,こめ,rice,大米,gạo
0373,みそ,,miso,味噌（日式大豆酱）,tương miso
0374,チーズ,,cheese,芝士,phô-mai
0375,ハム,,ham,火腿,giăm-bông
0376,カップラーメン,,cup noodles,杯装泡面,mì ly
0377,みそ汁,みそしる,miso soup,味噌汤（日式大酱汤）,súp miso
0378,サラダ,,salad,沙拉,xa-lát
0379,ハンバーグ,,hamburger steak,汉堡肉饼,bít-tết Hamburg
0380,ケーキ,,cake,蛋糕,bánh ngọt
0381,チョコレート,,chocolate,巧克力,sô-cô-la
0382,日本酒,にほんしゅ,"rice wine, sake",日本酒,rượu Nhật
0383,ペットボトル,,PET bottle,塑料瓶,chai nhựa
0384,紙パック,かみパック,paper carton,纸盒,hộp giấy
0385,上着,うわぎ,jacket,外套,áo khoác
0386,下着,したぎ,underwear,内衣,đồ lót
0387,着物,きもの,kimono,和服,ki-mô-nô
0388,手袋,てぶくろ,gloves,手套,găng tay
0389,指輪,ゆびわ,ring,戒指,nhẫn
0390,ポケット,,pocket,口袋,"túi (quần, áo)"
0391,コート,,coat,大衣,áo bành tô
0392,スーツ,,suit,西装,bộ vét
0393,セーター,,sweater,毛衣,áo len
0394,靴下,くつした,socks,袜子,"vớ, tất"
0395,サンダル,,sandals,凉鞋,xăng-đan
0396,スリッパ,,slippers,拖鞋,dép đi trong nhà
0397,スニーカー,,sneakers,运动鞋,giày thể thao
0398,アクセサリー,,accessory,饰品,phụ kiện
0399,イエロー,,yellow,黄色,màu vàng
0400,オレンジ,,orange,橘黄色、橙黄色,màu cam
0401,グリーン,,green,绿色,màu xanh lá
0402,グレー,,grey,灰色,màu xám
0403,ゴールド,,gold,金色,màu vàng kim
0404,シルバー,,silver,银色,màu bạc
0405,ピンク,,pink,粉红色,màu hồng
0406,ブラック,,black,黑色,màu đen
0407,ブルー,,blue,蓝色,màu xanh dương
0408,ベージュ,,beige,米黄色,màu be
0409,ホワイト,,white,白色,màu trắng
0410,レッド,,red,红色,màu đỏ
0411,警察,けいさつ,police,警察,cảnh sát
0412,交番,こうばん,police box,派出所,đồn cảnh sát
0413,泥棒,どろぼう,robber,小偷,kẻ trộm
0414,すり,,pickpocket,扒手,tên móc túi
0415,事故,じこ,accident,事故,tai nạn
0416,火事,かじ,fire,火灾、失火,vụ cháy
0417,非常口,ひじょうぐち,emergency exit,紧急出口,cửa thoát hiểm
0418,消火器,しょうかき,fire extinguisher,灭火器,bình chữa cháy
0419,救急車,きゅうきゅうしゃ,ambulance,救护车,xe cấp cứu
0420,地震,じしん,earthquake,地震,động đất
0421,震度,しんど,earthquake intensity,地震烈度,cường độ địa chấn
0422,台風,たいふう,typhoon,台风,bão
0423,懐中電灯,かいちゅうでんとう,"flashlight, torch",手电筒,đèn pin
0424,お巡りさん,おまわりさん,policeman,巡警,nhân viên cảnh sát
0425,１１０番,ひゃくとおばん,phone 110 and report (something) to the police,打110报警,gọi 110 báo cảnh sát
0426,１１９番,ひゃくじゅうきゅうばん,119,119,số 119
0427,文化,ぶんか,culture,文化,văn hóa
0428,歴史,れきし,history,历史,lịch sử
0429,小説,しょうせつ,novel,小说,tiểu thuyết
0430,文学,ぶんがく,literature,文学,văn học
0431,コンサート,,concert,音乐会,buổi hòa nhạc
0432,展覧会,てんらんかい,exhibition,展览,buổi triển lãm
0433,（お）花見,（お）はなみ,cherry-blossom viewing,赏花,sự ngắm hoa
0434,桜,さくら,cherry blossom,樱花,anh đào
0435,ゴールデンウィーク,,Golden Week,黄金周,kỳ nghỉ Tuần Lễ Vàng
0436,（お）正月,（お）しょうがつ,New Year,新年,Tết (dương lịch)
0437,（お）祭り,（お）まつり,festival,庙会、节庆活动,lễ hội
0438,運動会,うんどうかい,"sports day, athletic meet",运动会,hội thao
0439,趣味,しゅみ,hobby,兴趣爱好,sở thích
0440,アニメ （アニメーション）,,"anime, animation",动漫,phim hoạt hình
0441,イラスト,,illustration,插图,tranh minh họa
0442,人形,にんぎょう,doll,人偶,búp bê
0443,踊り,おどり,dance,舞蹈,điệu múa
0444,見物,けんぶつ,sightsee,游览参观,tham quan
0445,景色,けしき,scenery,景色,phong cảnh
0446,スキー場,スキーじょう,ski area,滑雪场,khu trượt tuyết
0447,旅館,りょかん,Japanese inn,旅馆,lữ quán
0448,スーツケース,,suitcase,行李箱,va-li
0449,（お）土産,（お）みやげ,souvenir,特产、纪念品,quà lưu niệm
0450,クリスマス,,Christmas,圣诞节,Giáng sinh
0451,ゲーム,,game,游戏,trò chơi điện tử
0452,漫画,まんが,"manga, comic",漫画,truyện tranh
0453,カラオケ,,karaoke,卡拉OK,karaoke
0454,ダンス,,dance,舞蹈,sự nhảy múa
0455,釣り,つり,fishing,钓鱼,sự câu cá
0456,サッカー,,"soccer, football",足球,bóng đá
0457,柔道,じゅうどう,judo,柔道,võ judo
0458,水泳,すいえい,swimming,游泳,môn bơi lội
0459,スキー,,skiing,滑雪,môn trượt tuyết
0460,スケート,,skating,滑冰,môn trượt băng
0461,テニス,,tennis,网球,quần vợt
0462,野球,やきゅう,baseball,棒球,bóng chày
0463,ゴルフ,,golf,高尔夫,môn đánh gôn
0464,案内,あんない,guide someone,向导、引路,hướng dẫn
0465,連絡,れんらく,contact,联系,liên lạc
0466,天気予報,てんきよほう,weather forecast,天气预报,dự báo thời tiết
0467,放送,ほうそう,broadcast,播出,phát sóng
0468,番組,ばんぐみ,program,节目,chương trình
0469,お知らせ,おしらせ,information,通知,thông báo
0470,パンフレット,,pamphlet,小册子、宣传册,tờ quảng cáo
0471,ファックス,,fax,传真,bản fax
0472,電報,でんぽう,telegram,电报,bức điện tín
0473,航空便,こうくうびん,airmail,航空邮件、空运,bưu chính hàng không
0474,計画,けいかく,plan,规划、计划,lập kế hoạch
0475,予定,よてい,plan,准备、计划,dự định
0476,予定表,よていひょう,schedule,计划表,lịch trình
0477,予約,よやく,reserve,预订,đặt trước
0478,準備,じゅんび,prepare,准备、筹备,chuẩn bị
0479,用意,ようい,prepare,准备、预备,"chuẩn bị, sắp xếp"
0480,利用,りよう,use,利用,sử dụng
0481,キャンセル,,cancel,取消,hủy bỏ
0482,中止,ちゅうし,cancel,中止,hủy
0483,経験,けいけん,experience,经历,"kinh qua, trải qua"
0484,失敗,しっぱい,fail,失败,thất bại
0485,説明,せつめい,explain,说明、解释,giải thích
0486,理由,りゆう,reason,理由,lý do
0487,訳,わけ,reason,缘由,nguyên cớ
0488,原因,げんいん,cause,原因,nguyên nhân
0489,仕方,しかた,"way, how to do",办法,cách làm
0490,やり方,やりかた,"way, how to do",办法,cách làm
0491,翻訳,ほんやく,translate,翻译,dịch
0492,チェック,,check,检查,kiểm tra
0493,故障,こしょう,break down,故障,hư hỏng
0494,問題,もんだい,problem,问题,vấn đề
0495,場合,ばあい,"event, case",情况,trường hợp
0496,関係,かんけい,relationship,关系,quan hệ
0497,都合,つごう,convenience,方便、合适,sự thuận tiện
0498,機会,きかい,opportunity,机会,cơ hội
0499,こと,,thing,事情,chuyện
0500,普通,ふつう①,normal,普通、正常,sự bình thường
0501,別,べつ,separate,另外、不同,khác
0502,片方,かたほう,one (of two),（两个中的）一个、一只,một (trong 2 thứ)
0503,両方,りょうほう,both,两者、双方,cả hai thứ
0504,住所,じゅうしょ,address,住址,địa chỉ
0505,近所,きんじょ,neighborhood,邻居、附近,hàng xóm
0506,場所,ばしょ,location,地方,địa điểm
